antibody_id,tissue_name,cellular_component,level_a,level_b,level_c
167,A-431,Nuclear_speckles,nuclear_speckles,nuclear_bodies,nucleus
167,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
167,U-2 OS,Nuclear_speckles,nuclear_speckles,nuclear_bodies,nucleus
167,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
167,U-251 MG,Nuclear_speckles,nuclear_speckles,nuclear_bodies,nucleus
243,A-431,Mitochondria,mitochondria,mitochondria,cytoplasm
243,U-2 OS,Mitochondria,mitochondria,mitochondria,cytoplasm
243,U-251 MG,Mitochondria,mitochondria,mitochondria,cytoplasm
244,MCF7,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
244,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
244,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
247,A-431,Cytosol,cytosol,cytosol,cytoplasm
247,A-431,Microtubule_organizing_center,microtubule_organizing_center,microtubule_organizing_center,filaments
247,A-431,Vesicles,vesicles,vesicles,secretory
247,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
247,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
248,A-431,Endoplasmic_reticulum,endoplasmic_reticulum,endoplasmic_reticulum,secretory
248,A-431,Lipid_droplets,lipid_droplets,vesicles,secretory
248,U-2 OS,Endoplasmic_reticulum,endoplasmic_reticulum,endoplasmic_reticulum,secretory
248,U-2 OS,Lipid_droplets,lipid_droplets,vesicles,secretory
248,U-251 MG,Endoplasmic_reticulum,endoplasmic_reticulum,endoplasmic_reticulum,secretory
248,U-251 MG,Lipid_droplets,lipid_droplets,vesicles,secretory
252,SH-SY5Y,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
252,SH-SY5Y,Vesicles,vesicles,vesicles,secretory
261,A-431,Cytosol,cytosol,cytosol,cytoplasm
261,U-2 OS,Actin_filaments,actin_filaments,actin_filaments,filaments
261,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
264,A-431,Cytosol,cytosol,cytosol,cytoplasm
264,A-431,Nucleoli,nucleoli,nucleoli,nucleoli
264,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
264,U-2 OS,Nucleoli,nucleoli,nucleoli,nucleoli
264,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
264,U-251 MG,Nucleoli,nucleoli,nucleoli,nucleoli
265,HaCaT,Vesicles,vesicles,vesicles,secretory
265,HeLa,Vesicles,vesicles,vesicles,secretory
265,U-2 OS,Vesicles,vesicles,vesicles,secretory
266,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
266,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
266,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
285,A-431,Cytosol,cytosol,cytosol,cytoplasm
285,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
285,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
286,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
286,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
286,U-2 OS,Mitochondria,mitochondria,mitochondria,cytoplasm
286,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
287,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
287,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
287,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
293,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
293,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
293,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
293,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
293,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
339,SH-SY5Y,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
368,A-431,Actin_filaments,actin_filaments,actin_filaments,filaments
368,A-431,Cytosol,cytosol,cytosol,cytoplasm
368,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
368,U-2 OS,Actin_filaments,actin_filaments,actin_filaments,filaments
368,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
368,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
368,U-251 MG,Actin_filaments,actin_filaments,actin_filaments,filaments
368,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
368,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
382,HEK 293,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
382,HEK 293,Vesicles,vesicles,vesicles,secretory
382,RH-30,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
382,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
390,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
390,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
390,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
390,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
390,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
395,A549,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
395,CACO-2,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
400,A-431,Cytosol,cytosol,cytosol,cytoplasm
400,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
400,U-2 OS,Actin_filaments,actin_filaments,actin_filaments,filaments
400,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
400,U-2 OS,Focal_adhesion_sites,focal_adhesion_sites,,
400,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
400,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
400,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
407,SiHa,Midbody,midbody,mitotic_filament,filaments
407,SiHa,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
407,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
407,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
425,A-431,Mitochondria,mitochondria,mitochondria,cytoplasm
425,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
425,U-2 OS,Mitochondria,mitochondria,mitochondria,cytoplasm
425,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
425,U-251 MG,Mitochondria,mitochondria,mitochondria,cytoplasm
425,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
426,A-431,Cytosol,cytosol,cytosol,cytoplasm
426,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
426,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
427,A-431,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
427,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
427,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
427,U-251 MG,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
