Level A	Level B	Level C
Nucleus	Nucleoplasm	Nucleus
Nucleoplasm	Nucleoplasm	Nucleus
Nuclear bodies	Nuclear bodies	Nucleus
Nuclear speckles	Nuclear bodies	Nucleus
Nuclear membrane	Nuclear membrane	Nucleus
Nucleoli	Nucleoli	Nucleoli
Nucleoli (Fibrillar center)	Nucleoli	Nucleoli
Cytosol	Cytosol	Cytoplasm
Cytoplasmic bodies	Cytoplasmic bodies	Cytoplasm
Rods and Rings	Cytoplasmic bodies	Cytoplasm
Lipid droplets	Vesicles	Secretory
Aggresome	Cytoplasmic bodies	Cytoplasm
Mitochondria	Mitochondria	Cytoplasm
Microtubules	Microtubules	Filaments
Microtubule ends	Microtubules	Filaments
Microtubule organizing center	MTOC	Filaments
Centrosome	MTOC	Filaments
Mitotic spindle	mitotic filament	Filaments
Cytokinetic bridge	mitotic filament	Filaments
Midbody	mitotic filament	Filaments
Midbody ring	mitotic filament	Filaments
Intermediate filaments	Intermediate filaments	Filaments
Actin filaments	Actin filaments	Filaments
Focal Adhesions	Actin filaments	Filaments
Endoplasmic reticulum	Endoplasmic reticulum	Secretory
Golgi apparatus	Golgi apparatus	Secretory
Vesicles	Vesicles	Secretory
Plasma membrane	Plasma membrane	Plasma membrane
Cell Junctions	Plasma membrane	Plasma membrane
