level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,ENSG00000049769,PPP1R3F,Q6ZSY5
nucleoplasm,ENSG00000156504,FAM122B,Q7Z309
cytosol,ENSG00000102096,PIM2,Q9P1W9
nucleoplasm,ENSG00000068394,GPKOW,Q92917
nucleoplasm,ENSG00000133131,MORC4,Q8TE76
cytosol,ENSG00000269335,IKBKG,Q9Y6K9
nucleoplasm,ENSG00000102241,HTATSF1,O43719
nucleoplasm,ENSG00000198157,HMGN5,P82970
nucleoplasm,ENSG00000102057,KCND1,Q9NSA2
cytosol,ENSG00000239900,ADSL,P30566
cytosol,ENSG00000062096,ARSF,P54793
nucleoplasm,ENSG00000169057,MECP2,P51608
nucleoplasm,ENSG00000100439,ABHD4,Q8TB40
nucleoplasm,ENSG00000090061,CCNK,O75909
nucleoplasm,ENSG00000182901,RGS7,P49802
cytosol,ENSG00000087842,PIR,O00625
cytosol,ENSG00000100714,MTHFD1,P11586
cytosol,ENSG00000015475,BID,P55957
nucleoplasm,ENSG00000204271,SPIN3,Q5JUX0
cytosol,ENSG00000100092,SH3BP1,Q9Y3L3
cytosol,ENSG00000152767,FARP1,Q9Y4F1
cytosol,ENSG00000100600,LGMN,Q99538
nucleoplasm,ENSG00000100395,L3MBTL2,Q969R5
cytosol,ENSG00000185339,TCN2,P20062
nucleoplasm,ENSG00000106689,LHX2,P50458
cytosol,ENSG00000086712,TXLNG,Q9NUQ3
nucleoplasm,ENSG00000012963,UBR7,Q8N806
cytosol,ENSG00000100442,FKBP3,Q00688
nucleoplasm,ENSG00000066739,ATG2B,Q96BY7
cytosol,ENSG00000198908,BHLHB9,Q6PI77
cytosol,ENSG00000100591,AHSA1,O95433
nucleoplasm,"ENSG00000126945,ENSG00000169045","HNRNPH2,HNRNPH1","P55795,P31943"
nucleoplasm,ENSG00000013523,ANGEL1,Q9UNK9
nucleoplasm,ENSG00000131773,KHDRBS3,O75525
cytosol,ENSG00000179454,KLHL28,Q9NXS3
nucleoplasm,ENSG00000147133,TAF1,P21675
nucleoplasm,ENSG00000198554,WDHD1,O75717
nucleoplasm,ENSG00000185246,PRPF39,Q86UA1
cytosol,ENSG00000145675,PIK3R1,P27986
nucleoplasm,ENSG00000100056,DGCR14,Q96DF8
cytosol,ENSG00000100985,MMP9,P14780
cytosol,ENSG00000104365,IKBKB,O14920
cytosol,ENSG00000166165,CKB,P12277
cytosol,ENSG00000101557,USP14,P54578
cytosol,ENSG00000152492,CCDC50,Q8IVM0
nucleoplasm,ENSG00000184302,SIX6,O95475
nucleoplasm,ENSG00000133980,VRTN,Q9H8Y1
cytosol,ENSG00000150787,PTS,Q03393
cytosol,ENSG00000110944,IL23A,Q9NPF7
cytosol,ENSG00000163536,SERPINI1,Q99574
cytosol,ENSG00000111057,KRT18,P05783
nucleoplasm,ENSG00000108947,EFNB3,Q15768
nucleoplasm,ENSG00000086589,RBM22,Q9NW64
cytosol,ENSG00000182752,PAPPA,Q13219
nucleoplasm,ENSG00000099326,MZF1,P28698
nucleoplasm,ENSG00000125398,SOX9,P48436
nucleoplasm,ENSG00000100784,RPS6KA5,O75582
cytosol,ENSG00000100403,ZC3H7B,Q9UGR2
nucleoplasm,ENSG00000090060,PAPOLA,P51003
nucleoplasm,ENSG00000122386,ZNF205,O95201
cytosol,ENSG00000151748,SAV1,Q9H4B6
cytosol,ENSG00000143248,RGS5,O15539
nucleoplasm,ENSG00000185591,SP1,P08047
cytosol,ENSG00000213928,IRF9,Q00978
cytosol,ENSG00000163932,PRKCD,Q05655
cytosol,ENSG00000141968,VAV1,P15498
nucleoplasm,ENSG00000143322,ABL2,P42684
cytosol,ENSG00000104611,SH2D4A,Q9H788
nucleoplasm,ENSG00000102387,TAF7L,Q5H9L4
nucleoplasm,ENSG00000052850,ALX4,Q9H161
cytosol,ENSG00000179115,FARSA,Q9Y285
nucleoplasm,ENSG00000110693,SOX6,P35712
nucleoplasm,ENSG00000196498,NCOR2,Q9Y618
cytosol,ENSG00000136231,IGF2BP3,O00425
nucleoplasm,ENSG00000133466,C1QTNF6,Q9BXI9
nucleoplasm,ENSG00000275410,HNF1B,P35680
cytosol,ENSG00000165092,ALDH1A1,P00352
cytosol,ENSG00000117868,ESYT2,A0FGR8
nucleoplasm,ENSG00000140968,IRF8,Q02556
cytosol,ENSG00000130300,PLVAP,Q9BX97
cytosol,ENSG00000074695,LMAN1,P49257
cytosol,ENSG00000013364,MVP,Q14764
cytosol,ENSG00000110619,CARS,P49589
cytosol,"ENSG00000173674,ENSG00000198692","EIF1AX,EIF1AY","P47813,O14602"
nucleoplasm,ENSG00000100796,PPP4R3A,Q6IN85
cytosol,ENSG00000197157,SND1,Q7KZF4
nucleoplasm,ENSG00000020922,MRE11A,P49959
nucleoplasm,ENSG00000137265,IRF4,Q15306
cytosol,ENSG00000068438,FTSJ1,Q9UET6
nucleoplasm,ENSG00000198131,ZNF544,Q6NX49
cytosol,ENSG00000140545,MFGE8,Q08431
cytosol,ENSG00000129682,FGF13,Q92913
cytosol,ENSG00000091164,TXNL1,O43396
nucleoplasm,ENSG00000131969,ABHD12B,Q7Z5M8
nucleoplasm,ENSG00000044446,PHKA2,P46019
nucleoplasm,ENSG00000078596,ITM2A,O43736
nucleoplasm,ENSG00000136826,KLF4,O43474
cytosol,ENSG00000187097,ENTPD5,O75356
nucleoplasm,ENSG00000092067,CEBPE,Q15744
cytosol,ENSG00000100104,SRRD,Q9UH36
nucleoplasm,ENSG00000165792,METTL17,Q9H7H0
cytosol,ENSG00000134759,ELP2,Q6IA86
nucleoplasm,ENSG00000165617,DACT1,Q9NYF0
nucleoplasm,ENSG00000181433,SAGE1,Q9NXZ1
nucleoplasm,ENSG00000100387,RBX1,P62877
nucleoplasm,"ENSG00000213920,ENSG00000255526","MDP1,NEDD8-MDP1",Q86V88
nucleoplasm,ENSG00000184949,FAM227A,F5H4B4
nucleoplasm,ENSG00000186976,EFCAB6,Q5THR3
