ensg_id,level_b
ENSG00000049769,nucleoplasm
ENSG00000156504,nucleoplasm
ENSG00000102096,cytosol
ENSG00000068394,nucleoplasm
ENSG00000133131,nucleoplasm
ENSG00000269335,cytosol
ENSG00000102241,nucleoplasm
ENSG00000198157,nucleoplasm
ENSG00000102057,nucleoplasm
ENSG00000239900,cytosol
ENSG00000062096,cytosol
ENSG00000169057,nucleoplasm
ENSG00000100439,nucleoplasm
ENSG00000090061,nucleoplasm
ENSG00000182901,nucleoplasm
ENSG00000087842,cytosol
ENSG00000100714,cytosol
ENSG00000015475,cytosol
ENSG00000204271,nucleoplasm
ENSG00000100092,cytosol
ENSG00000152767,cytosol
ENSG00000100600,cytosol
ENSG00000100395,nucleoplasm
ENSG00000185339,cytosol
ENSG00000106689,nucleoplasm
ENSG00000086712,cytosol
ENSG00000012963,nucleoplasm
ENSG00000100442,cytosol
ENSG00000066739,nucleoplasm
ENSG00000198908,cytosol
ENSG00000100591,cytosol
ENSG00000013523,nucleoplasm
ENSG00000131773,nucleoplasm
ENSG00000179454,cytosol
ENSG00000147133,nucleoplasm
ENSG00000198554,nucleoplasm
ENSG00000185246,nucleoplasm
ENSG00000145675,cytosol
ENSG00000100056,nucleoplasm
ENSG00000100985,cytosol
ENSG00000104365,cytosol
ENSG00000166165,cytosol
ENSG00000101557,cytosol
ENSG00000152492,cytosol
ENSG00000184302,nucleoplasm
ENSG00000133980,nucleoplasm
ENSG00000150787,cytosol
ENSG00000110944,cytosol
ENSG00000163536,cytosol
ENSG00000111057,cytosol
ENSG00000108947,nucleoplasm
ENSG00000086589,nucleoplasm
ENSG00000182752,cytosol
ENSG00000099326,nucleoplasm
ENSG00000125398,nucleoplasm
ENSG00000100784,nucleoplasm
ENSG00000100403,cytosol
ENSG00000090060,nucleoplasm
ENSG00000122386,nucleoplasm
ENSG00000151748,cytosol
ENSG00000143248,cytosol
ENSG00000185591,nucleoplasm
ENSG00000213928,cytosol
ENSG00000163932,cytosol
ENSG00000141968,cytosol
ENSG00000143322,nucleoplasm
ENSG00000104611,cytosol
ENSG00000102387,nucleoplasm
ENSG00000052850,nucleoplasm
ENSG00000179115,cytosol
ENSG00000110693,nucleoplasm
ENSG00000196498,nucleoplasm
ENSG00000136231,cytosol
ENSG00000133466,nucleoplasm
ENSG00000275410,nucleoplasm
ENSG00000165092,cytosol
ENSG00000117868,cytosol
ENSG00000140968,nucleoplasm
ENSG00000130300,cytosol
ENSG00000074695,cytosol
ENSG00000013364,cytosol
ENSG00000110619,cytosol
ENSG00000100796,nucleoplasm
ENSG00000197157,cytosol
ENSG00000020922,nucleoplasm
ENSG00000137265,nucleoplasm
ENSG00000068438,cytosol
ENSG00000198131,nucleoplasm
ENSG00000140545,cytosol
ENSG00000129682,cytosol
ENSG00000091164,cytosol
ENSG00000131969,nucleoplasm
ENSG00000044446,nucleoplasm
ENSG00000078596,nucleoplasm
ENSG00000136826,nucleoplasm
ENSG00000187097,cytosol
ENSG00000092067,nucleoplasm
ENSG00000100104,cytosol
ENSG00000165792,nucleoplasm
ENSG00000134759,cytosol
ENSG00000165617,nucleoplasm
ENSG00000181433,nucleoplasm
ENSG00000100387,nucleoplasm
ENSG00000184949,nucleoplasm
ENSG00000186976,nucleoplasm
ENSG00000156030,nucleoplasm
ENSG00000176473,nucleoplasm
ENSG00000164048,nucleoplasm
ENSG00000073969,cytosol
ENSG00000099917,nucleoplasm
ENSG00000184634,nucleoplasm
ENSG00000166226,cytosol
ENSG00000147130,nucleoplasm
ENSG00000120265,cytosol
ENSG00000151967,cytosol
ENSG00000196453,nucleoplasm
ENSG00000154727,nucleoplasm
ENSG00000113578,nucleoplasm
ENSG00000123240,cytosol
ENSG00000164458,nucleoplasm
ENSG00000156587,cytosol
ENSG00000164109,nucleoplasm
ENSG00000147010,cytosol
ENSG00000167182,nucleoplasm
ENSG00000151876,nucleoplasm
ENSG00000132879,nucleoplasm
ENSG00000125691,cytosol
ENSG00000126773,cytosol
ENSG00000116679,cytosol
ENSG00000119681,nucleoplasm
ENSG00000185630,nucleoplasm
ENSG00000065802,nucleoplasm
ENSG00000129675,cytosol
ENSG00000100897,nucleoplasm
ENSG00000071859,nucleoplasm
ENSG00000154473,nucleoplasm
ENSG00000169093,cytosol
ENSG00000089127,cytosol
ENSG00000166526,nucleoplasm
ENSG00000111880,nucleoplasm
ENSG00000185947,nucleoplasm
ENSG00000114861,nucleoplasm
ENSG00000005889,nucleoplasm
ENSG00000136717,cytosol
ENSG00000103275,cytosol
ENSG00000073584,nucleoplasm
ENSG00000105401,cytosol
ENSG00000172818,nucleoplasm
ENSG00000187690,nucleoplasm
ENSG00000275023,nucleoplasm
ENSG00000126746,nucleoplasm
ENSG00000145907,cytosol
ENSG00000169946,nucleoplasm
ENSG00000152977,nucleoplasm
ENSG00000000003,cytosol
ENSG00000165506,cytosol
ENSG00000102974,nucleoplasm
ENSG00000166986,cytosol
ENSG00000197013,nucleoplasm
ENSG00000166337,nucleoplasm
ENSG00000077092,nucleoplasm
ENSG00000149925,cytosol
ENSG00000115677,cytosol
ENSG00000106617,nucleoplasm
ENSG00000274211,cytosol
ENSG00000101076,nucleoplasm
ENSG00000138735,cytosol
ENSG00000132792,nucleoplasm
ENSG00000154553,cytosol
ENSG00000061273,cytosol
ENSG00000105127,nucleoplasm
ENSG00000117036,nucleoplasm
ENSG00000119280,cytosol
ENSG00000112319,nucleoplasm
ENSG00000185885,cytosol
ENSG00000075426,nucleoplasm
ENSG00000076003,nucleoplasm
ENSG00000111358,nucleoplasm
ENSG00000121022,nucleoplasm
ENSG00000100319,nucleoplasm
ENSG00000104738,nucleoplasm
ENSG00000105705,nucleoplasm
ENSG00000129315,nucleoplasm
ENSG00000126456,cytosol
ENSG00000138668,nucleoplasm
ENSG00000070669,cytosol
ENSG00000196428,cytosol
ENSG00000166523,cytosol
ENSG00000105397,cytosol
ENSG00000049239,cytosol
ENSG00000130294,cytosol
ENSG00000152942,nucleoplasm
ENSG00000117713,nucleoplasm
ENSG00000108799,nucleoplasm
ENSG00000111252,nucleoplasm
ENSG00000140105,cytosol
ENSG00000179348,nucleoplasm
ENSG00000185155,nucleoplasm
ENSG00000105880,nucleoplasm
ENSG00000132109,nucleoplasm
ENSG00000119383,nucleoplasm
ENSG00000075618,cytosol
ENSG00000127124,nucleoplasm
ENSG00000213930,cytosol
ENSG00000139410,cytosol
ENSG00000168078,cytosol
ENSG00000140987,nucleoplasm
ENSG00000164938,cytosol
ENSG00000118217,cytosol
ENSG00000014216,cytosol
ENSG00000154001,cytosol
ENSG00000143149,cytosol
ENSG00000157259,nucleoplasm
ENSG00000117479,cytosol
ENSG00000129946,cytosol
ENSG00000162613,nucleoplasm
ENSG00000149480,nucleoplasm
ENSG00000136146,nucleoplasm
ENSG00000135655,cytosol
ENSG00000159409,nucleoplasm
ENSG00000177463,nucleoplasm
ENSG00000165704,cytosol
ENSG00000112306,cytosol
ENSG00000101126,nucleoplasm
ENSG00000088038,cytosol
ENSG00000109854,cytosol
ENSG00000106992,cytosol
ENSG00000111229,nucleoplasm
ENSG00000079435,cytosol
ENSG00000143627,cytosol
ENSG00000196700,nucleoplasm
ENSG00000073050,nucleoplasm
ENSG00000005156,nucleoplasm
ENSG00000172613,nucleoplasm
ENSG00000166925,cytosol
ENSG00000167491,nucleoplasm
ENSG00000005073,nucleoplasm
ENSG00000110321,cytosol
ENSG00000175550,cytosol
ENSG00000152422,nucleoplasm
ENSG00000160685,nucleoplasm
ENSG00000134248,cytosol
ENSG00000164197,cytosol
ENSG00000103404,cytosol
ENSG00000176293,cytosol
ENSG00000111752,nucleoplasm
ENSG00000179981,nucleoplasm
ENSG00000138030,cytosol
ENSG00000170322,nucleoplasm
ENSG00000104415,cytosol
ENSG00000135486,nucleoplasm
ENSG00000002746,cytosol
ENSG00000120071,nucleoplasm
ENSG00000180616,cytosol
ENSG00000196812,nucleoplasm
ENSG00000172137,cytosol
ENSG00000181019,cytosol
ENSG00000121957,cytosol
ENSG00000145022,cytosol
ENSG00000196975,cytosol
ENSG00000080224,nucleoplasm
ENSG00000117480,cytosol
ENSG00000106537,nucleoplasm
ENSG00000102683,nucleoplasm
ENSG00000008441,nucleoplasm
ENSG00000112852,nucleoplasm
ENSG00000197956,cytosol
ENSG00000064393,nucleoplasm
ENSG00000085511,cytosol
ENSG00000148053,cytosol
ENSG00000151422,cytosol
ENSG00000165119,nucleoplasm
ENSG00000177453,cytosol
ENSG00000182378,cytosol
ENSG00000159164,cytosol
ENSG00000106541,cytosol
ENSG00000107738,nucleoplasm
ENSG00000120697,cytosol
ENSG00000122034,nucleoplasm
ENSG00000110237,cytosol
ENSG00000169504,cytosol
ENSG00000082512,cytosol
ENSG00000140382,nucleoplasm
ENSG00000184922,cytosol
ENSG00000164078,cytosol
ENSG00000172939,cytosol
ENSG00000170525,nucleoplasm
ENSG00000198912,nucleoplasm
ENSG00000198963,nucleoplasm
ENSG00000115828,cytosol
ENSG00000156970,cytosol
ENSG00000077150,cytosol
ENSG00000135624,cytosol
ENSG00000125779,cytosol
ENSG00000108953,cytosol
ENSG00000185909,cytosol
ENSG00000007038,cytosol
ENSG00000120708,cytosol
ENSG00000107882,nucleoplasm
ENSG00000074603,cytosol
ENSG00000013561,cytosol
ENSG00000132781,nucleoplasm
ENSG00000162551,cytosol
ENSG00000089280,nucleoplasm
ENSG00000185697,nucleoplasm
ENSG00000132680,nucleoplasm
ENSG00000177225,nucleoplasm
ENSG00000121297,nucleoplasm
ENSG00000081721,nucleoplasm
ENSG00000173193,cytosol
ENSG00000088812,cytosol
ENSG00000101049,nucleoplasm
ENSG00000182325,nucleoplasm
ENSG00000157456,cytosol
ENSG00000186834,nucleoplasm
ENSG00000104369,nucleoplasm
ENSG00000213762,nucleoplasm
ENSG00000105376,nucleoplasm
ENSG00000084764,cytosol
ENSG00000163728,nucleoplasm
ENSG00000126351,cytosol
ENSG00000143355,nucleoplasm
ENSG00000127191,cytosol
ENSG00000120063,cytosol
ENSG00000138160,cytosol
ENSG00000104081,nucleoplasm
ENSG00000146242,nucleoplasm
ENSG00000179593,cytosol
ENSG00000105229,nucleoplasm
ENSG00000081051,cytosol
ENSG00000139200,nucleoplasm
ENSG00000171659,nucleoplasm
ENSG00000085871,nucleoplasm
ENSG00000151694,cytosol
ENSG00000080854,cytosol
ENSG00000139263,cytosol
ENSG00000113657,cytosol
ENSG00000148175,cytosol
ENSG00000157168,nucleoplasm
ENSG00000166682,nucleoplasm
ENSG00000184602,cytosol
ENSG00000175928,cytosol
ENSG00000175793,cytosol
ENSG00000153086,cytosol
ENSG00000166913,cytosol
ENSG00000116031,cytosol
ENSG00000105928,cytosol
ENSG00000074416,nucleoplasm
ENSG00000115289,nucleoplasm
ENSG00000096401,nucleoplasm
ENSG00000176601,cytosol
ENSG00000146555,cytosol
ENSG00000157881,cytosol
ENSG00000196591,nucleoplasm
ENSG00000102699,cytosol
ENSG00000103148,cytosol
ENSG00000166833,nucleoplasm
ENSG00000108797,nucleoplasm
ENSG00000128829,cytosol
ENSG00000144567,cytosol
ENSG00000144749,cytosol
ENSG00000170248,cytosol
ENSG00000118804,cytosol
ENSG00000103326,nucleoplasm
ENSG00000111642,nucleoplasm
ENSG00000153879,nucleoplasm
ENSG00000106034,nucleoplasm
ENSG00000088543,cytosol
ENSG00000186001,cytosol
ENSG00000105366,cytosol
ENSG00000003137,cytosol
ENSG00000085978,cytosol
ENSG00000136114,cytosol
ENSG00000164161,nucleoplasm
ENSG00000140983,cytosol
ENSG00000106268,cytosol
ENSG00000162191,nucleoplasm
ENSG00000099625,nucleoplasm
ENSG00000166432,nucleoplasm
ENSG00000135914,nucleoplasm
ENSG00000198842,nucleoplasm
ENSG00000152766,nucleoplasm
ENSG00000151025,cytosol
ENSG00000124171,cytosol
ENSG00000116741,cytosol
ENSG00000118363,nucleoplasm
ENSG00000138772,cytosol
ENSG00000197646,cytosol
ENSG00000134882,cytosol
ENSG00000118985,nucleoplasm
ENSG00000123146,cytosol
ENSG00000181016,cytosol
ENSG00000186106,cytosol
ENSG00000089505,nucleoplasm
ENSG00000145332,nucleoplasm
ENSG00000140931,nucleoplasm
ENSG00000143126,cytosol
ENSG00000076053,nucleoplasm
ENSG00000130584,nucleoplasm
ENSG00000163803,cytosol
ENSG00000099785,cytosol
ENSG00000108370,nucleoplasm
ENSG00000057704,cytosol
ENSG00000198018,nucleoplasm
ENSG00000166881,nucleoplasm
ENSG00000111432,nucleoplasm
ENSG00000172572,cytosol
ENSG00000176834,cytosol
ENSG00000114859,cytosol
ENSG00000166398,nucleoplasm
ENSG00000173540,nucleoplasm
ENSG00000157800,cytosol
ENSG00000058799,nucleoplasm
ENSG00000069188,nucleoplasm
ENSG00000148123,nucleoplasm
ENSG00000177311,nucleoplasm
ENSG00000114850,cytosol
ENSG00000132481,cytosol
ENSG00000142186,cytosol
ENSG00000138071,cytosol
ENSG00000143105,nucleoplasm
ENSG00000136731,cytosol
ENSG00000185158,cytosol
ENSG00000136636,cytosol
ENSG00000137275,cytosol
ENSG00000102935,nucleoplasm
ENSG00000104312,cytosol
ENSG00000160325,nucleoplasm
ENSG00000071794,nucleoplasm
ENSG00000165244,nucleoplasm
ENSG00000183943,nucleoplasm
ENSG00000066422,nucleoplasm
ENSG00000164463,nucleoplasm
ENSG00000086991,nucleoplasm
ENSG00000124177,nucleoplasm
ENSG00000165238,cytosol
ENSG00000076944,cytosol
ENSG00000126653,nucleoplasm
ENSG00000138193,cytosol
ENSG00000124299,nucleoplasm
ENSG00000097033,cytosol
ENSG00000171155,cytosol
ENSG00000134198,nucleoplasm
ENSG00000164841,cytosol
ENSG00000114904,nucleoplasm
ENSG00000109685,nucleoplasm
ENSG00000015171,nucleoplasm
ENSG00000065526,nucleoplasm
ENSG00000137075,nucleoplasm
ENSG00000152137,cytosol
ENSG00000171045,nucleoplasm
ENSG00000196277,cytosol
ENSG00000198586,nucleoplasm
ENSG00000143570,cytosol
ENSG00000138075,nucleoplasm
ENSG00000276045,cytosol
ENSG00000105983,cytosol
ENSG00000182362,nucleoplasm
ENSG00000183864,cytosol
ENSG00000056097,nucleoplasm
ENSG00000094916,nucleoplasm
ENSG00000168763,cytosol
ENSG00000165512,nucleoplasm
ENSG00000163104,nucleoplasm
ENSG00000166974,nucleoplasm
ENSG00000158079,nucleoplasm
ENSG00000179134,cytosol
ENSG00000184307,nucleoplasm
ENSG00000160633,nucleoplasm
ENSG00000162391,nucleoplasm
ENSG00000134030,cytosol
ENSG00000160255,cytosol
ENSG00000114670,nucleoplasm
ENSG00000031698,cytosol
ENSG00000172977,nucleoplasm
ENSG00000174136,nucleoplasm
ENSG00000101189,nucleoplasm
ENSG00000143614,nucleoplasm
ENSG00000163946,nucleoplasm
ENSG00000091436,cytosol
ENSG00000120948,nucleoplasm
ENSG00000138385,nucleoplasm
ENSG00000185436,cytosol
ENSG00000003756,nucleoplasm
ENSG00000133106,cytosol
ENSG00000159267,cytosol
ENSG00000110931,cytosol
ENSG00000204574,cytosol
ENSG00000135317,cytosol
ENSG00000147459,cytosol
ENSG00000141161,cytosol
ENSG00000106105,cytosol
ENSG00000060491,nucleoplasm
ENSG00000142867,nucleoplasm
ENSG00000158019,cytosol
ENSG00000107968,cytosol
ENSG00000138760,cytosol
ENSG00000142166,cytosol
ENSG00000176018,cytosol
ENSG00000105929,cytosol
ENSG00000143028,nucleoplasm
ENSG00000197136,cytosol
ENSG00000151239,cytosol
ENSG00000135387,cytosol
ENSG00000174669,nucleoplasm
ENSG00000105173,nucleoplasm
ENSG00000130766,cytosol
ENSG00000151414,nucleoplasm
ENSG00000070761,nucleoplasm
ENSG00000183128,nucleoplasm
ENSG00000169118,cytosol
ENSG00000133878,nucleoplasm
ENSG00000198105,nucleoplasm
ENSG00000114416,cytosol
ENSG00000185104,nucleoplasm
ENSG00000204842,cytosol
ENSG00000138757,cytosol
ENSG00000156304,nucleoplasm
ENSG00000164022,cytosol
ENSG00000113761,nucleoplasm
ENSG00000170345,nucleoplasm
ENSG00000136518,nucleoplasm
ENSG00000100288,cytosol
ENSG00000089154,cytosol
ENSG00000062598,cytosol
ENSG00000187792,cytosol
ENSG00000168522,cytosol
ENSG00000128342,cytosol
ENSG00000168066,nucleoplasm
ENSG00000166681,cytosol
ENSG00000160408,nucleoplasm
ENSG00000159692,nucleoplasm
ENSG00000111716,cytosol
ENSG00000106400,nucleoplasm
ENSG00000108091,cytosol
ENSG00000138698,cytosol
ENSG00000008226,cytosol
ENSG00000042493,nucleoplasm
ENSG00000106305,cytosol
ENSG00000142156,cytosol
ENSG00000171223,nucleoplasm
ENSG00000118260,nucleoplasm
ENSG00000177565,nucleoplasm
ENSG00000127399,nucleoplasm
ENSG00000177409,cytosol
ENSG00000049246,cytosol
ENSG00000006744,nucleoplasm
ENSG00000005007,nucleoplasm
ENSG00000198160,nucleoplasm
ENSG00000128578,cytosol
ENSG00000204178,cytosol
ENSG00000164985,nucleoplasm
ENSG00000106605,cytosol
ENSG00000171174,cytosol
ENSG00000048828,cytosol
ENSG00000157741,nucleoplasm
ENSG00000100106,cytosol
ENSG00000170776,cytosol
ENSG00000162775,nucleoplasm
ENSG00000161048,cytosol
ENSG00000158941,nucleoplasm
ENSG00000112208,nucleoplasm
ENSG00000184924,nucleoplasm
ENSG00000170946,cytosol
ENSG00000108654,nucleoplasm
ENSG00000164754,nucleoplasm
ENSG00000166016,nucleoplasm
ENSG00000184545,cytosol
ENSG00000178295,nucleoplasm
ENSG00000204947,nucleoplasm
ENSG00000128607,nucleoplasm
ENSG00000106608,cytosol
ENSG00000091128,cytosol
ENSG00000188986,nucleoplasm
ENSG00000158525,nucleoplasm
ENSG00000111266,nucleoplasm
ENSG00000138375,nucleoplasm
ENSG00000148153,nucleoplasm
ENSG00000146858,cytosol
ENSG00000101349,nucleoplasm
ENSG00000155636,nucleoplasm
ENSG00000061676,cytosol
ENSG00000115866,cytosol
ENSG00000197776,cytosol
ENSG00000222011,cytosol
ENSG00000107371,nucleoplasm
ENSG00000205085,nucleoplasm
ENSG00000134996,cytosol
ENSG00000142864,cytosol
ENSG00000127080,cytosol
ENSG00000135248,cytosol
ENSG00000126453,cytosol
ENSG00000139154,nucleoplasm
ENSG00000159915,nucleoplasm
ENSG00000108786,cytosol
ENSG00000166147,cytosol
ENSG00000115687,cytosol
ENSG00000151612,nucleoplasm
ENSG00000106993,cytosol
ENSG00000167112,cytosol
ENSG00000139613,nucleoplasm
ENSG00000240230,cytosol
ENSG00000157653,cytosol
ENSG00000109118,nucleoplasm
ENSG00000278259,cytosol
ENSG00000141279,cytosol
ENSG00000133195,nucleoplasm
ENSG00000028310,nucleoplasm
ENSG00000141985,cytosol
ENSG00000184792,cytosol
ENSG00000173875,nucleoplasm
ENSG00000205189,nucleoplasm
ENSG00000176994,nucleoplasm
ENSG00000181222,nucleoplasm
ENSG00000166716,nucleoplasm
ENSG00000136813,nucleoplasm
ENSG00000159259,nucleoplasm
ENSG00000137073,cytosol
ENSG00000184863,nucleoplasm
ENSG00000127993,nucleoplasm
ENSG00000139726,cytosol
ENSG00000108559,nucleoplasm
ENSG00000148356,cytosol
ENSG00000141543,nucleoplasm
ENSG00000141294,cytosol
ENSG00000167011,nucleoplasm
ENSG00000116791,cytosol
ENSG00000157680,nucleoplasm
ENSG00000083454,cytosol
ENSG00000109089,cytosol
ENSG00000006282,nucleoplasm
ENSG00000124813,nucleoplasm
ENSG00000135766,cytosol
ENSG00000115966,nucleoplasm
ENSG00000108381,cytosol
ENSG00000115252,nucleoplasm
ENSG00000131711,cytosol
ENSG00000148143,nucleoplasm
ENSG00000129167,cytosol
ENSG00000121104,nucleoplasm
ENSG00000138867,nucleoplasm
ENSG00000188895,nucleoplasm
ENSG00000125877,cytosol
ENSG00000184619,nucleoplasm
ENSG00000108387,nucleoplasm
ENSG00000167183,cytosol
ENSG00000018189,cytosol
ENSG00000129245,cytosol
ENSG00000167716,nucleoplasm
ENSG00000198795,nucleoplasm
ENSG00000173894,nucleoplasm
ENSG00000120915,cytosol
ENSG00000147677,cytosol
ENSG00000104722,cytosol
ENSG00000170921,cytosol
ENSG00000170291,cytosol
ENSG00000171953,cytosol
ENSG00000188522,cytosol
ENSG00000180329,cytosol
ENSG00000135686,cytosol
ENSG00000186017,nucleoplasm
ENSG00000167377,cytosol
ENSG00000275066,cytosol
ENSG00000175029,cytosol
ENSG00000164134,cytosol
ENSG00000130222,nucleoplasm
ENSG00000125458,cytosol
ENSG00000020129,cytosol
ENSG00000163348,nucleoplasm
ENSG00000146670,nucleoplasm
ENSG00000104450,cytosol
ENSG00000133704,nucleoplasm
ENSG00000005700,nucleoplasm
ENSG00000140743,nucleoplasm
ENSG00000133138,cytosol
ENSG00000177125,nucleoplasm
ENSG00000171408,nucleoplasm
ENSG00000179477,cytosol
ENSG00000172466,nucleoplasm
ENSG00000119125,nucleoplasm
ENSG00000180347,nucleoplasm
ENSG00000091127,nucleoplasm
ENSG00000155313,cytosol
ENSG00000163666,nucleoplasm
ENSG00000105875,nucleoplasm
ENSG00000164684,nucleoplasm
ENSG00000158106,nucleoplasm
ENSG00000001460,nucleoplasm
ENSG00000121413,nucleoplasm
ENSG00000099783,nucleoplasm
ENSG00000173473,nucleoplasm
ENSG00000196284,nucleoplasm
ENSG00000136982,nucleoplasm
ENSG00000162909,cytosol
ENSG00000180921,cytosol
ENSG00000136193,cytosol
ENSG00000108094,nucleoplasm
ENSG00000058085,cytosol
ENSG00000188523,cytosol
ENSG00000104728,nucleoplasm
ENSG00000171431,cytosol
ENSG00000168481,cytosol
ENSG00000167447,nucleoplasm
ENSG00000164983,nucleoplasm
ENSG00000075151,cytosol
ENSG00000265817,nucleoplasm
ENSG00000037637,nucleoplasm
ENSG00000010072,nucleoplasm
ENSG00000118508,cytosol
ENSG00000118482,nucleoplasm
ENSG00000160957,nucleoplasm
ENSG00000043143,nucleoplasm
ENSG00000167766,nucleoplasm
ENSG00000198300,nucleoplasm
ENSG00000125944,nucleoplasm
ENSG00000094631,nucleoplasm
ENSG00000126067,nucleoplasm
