# loss	acc	val_loss	val_acc
6.845415016396301233e-01	6.056092528151437726e-01	6.653350319407731472e-01	6.230598563894199637e-01
6.654574580170654619e-01	6.174932645931615616e-01	6.626743577800674467e-01	6.230598563894199637e-01
6.652022577129212966e-01	6.174932668976352845e-01	6.628346077090092603e-01	6.230598563894199637e-01
6.644745944532685078e-01	6.160671834030689853e-01	6.626946000328614028e-01	6.230598563894199637e-01
6.642372228041104609e-01	6.174932672187504190e-01	6.638626333350881037e-01	6.230598563894199637e-01
6.636149164066698081e-01	6.143241921745830059e-01	6.724933963392896175e-01	6.230598563894199637e-01
6.641789974812716268e-01	6.159087300130595688e-01	6.662092445430628507e-01	6.219512099965976981e-01
6.575222254139442279e-01	6.187608939610425018e-01	6.631146537226741966e-01	6.230598563894199637e-01
6.577326808012036174e-01	6.157502757258166426e-01	7.211703200826623528e-01	6.230598563894199637e-01
6.566163700972962314e-01	6.200285235367039016e-01	6.675783415591373116e-01	6.230598563894199637e-01
6.531896980491460614e-01	6.200285214872334194e-01	6.982803493407772066e-01	6.230598563894199637e-01
6.521030419357528585e-01	6.274758372588649102e-01	6.822224902340154884e-01	6.230598563894199637e-01
