# loss	acc	val_loss	val_acc
6.740248827707200352e-01	6.142857164617568921e-01	6.751875215106539763e-01	5.944444470935397185e-01
6.680767252331688555e-01	6.200000005108969869e-01	6.807004610697428015e-01	5.944444470935397185e-01
6.664312699484447045e-01	6.200000019300551113e-01	6.750532653596665877e-01	5.944444470935397185e-01
6.624540705529470275e-01	6.200000038222660548e-01	6.750561528735690153e-01	5.944444470935397185e-01
6.562360033156380279e-01	6.212698400966705226e-01	6.749103334214952010e-01	5.944444470935397185e-01
6.461869847206842543e-01	6.258730112560211278e-01	7.093446453412374231e-01	5.944444470935397185e-01
6.331900717720152505e-01	6.407936518154446759e-01	7.120795978440178642e-01	4.533333248562282924e-01
6.105518350525508398e-01	6.609523835636320621e-01	7.104151116477118721e-01	5.822222166591219938e-01
5.909183640328664611e-01	6.779365123264373683e-01	7.265258563889397392e-01	5.766666730244954797e-01
5.675838537632472702e-01	7.004761932388184897e-01	7.213103638754950753e-01	5.522222187783982772e-01
5.375305078332386355e-01	7.266666690508524207e-01	7.473735941780937919e-01	5.311111112435659143e-01
5.117828164781842437e-01	7.426984120929052136e-01	7.495771182907952079e-01	5.300000011920928955e-01
4.933553621882483808e-01	7.634920648166111379e-01	8.005939788288540804e-01	5.544444455040825614e-01
4.689404846183837239e-01	7.774603149247547584e-01	9.225400620036654509e-01	5.611111058129204521e-01
4.495797199862344162e-01	7.844444437632485112e-01	8.506572511461045760e-01	5.088888936572604216e-01
