# loss	acc	val_loss	val_acc
6.753546879405066816e-01	6.125396807042379210e-01	6.749482022391425362e-01	5.944444470935397185e-01
6.659269701866876723e-01	6.196825409692431341e-01	6.738526821136474609e-01	5.944444470935397185e-01
6.610337562031216585e-01	6.184126980721004196e-01	6.829138530625237236e-01	5.944444470935397185e-01
6.543831768490019352e-01	6.201587290990919765e-01	6.808437771267361605e-01	5.822222166591219938e-01
6.493785532694014151e-01	6.222222229791065651e-01	6.790256500244140625e-01	5.977777772479586638e-01
6.462357280746339194e-01	6.317460328813583326e-01	6.959702637460496444e-01	4.988888833257887345e-01
6.294136028441171815e-01	6.385714331316569847e-01	7.050844695832994002e-01	6.011111206478543245e-01
6.362462800646585537e-01	6.358730149647545682e-01	6.828584406110975724e-01	5.277777810891469690e-01
6.127088287520030541e-01	6.585714306150164399e-01	6.850842303699917757e-01	5.333333379692501985e-01
6.007848514450920829e-01	6.633333355661422681e-01	6.792972882588704797e-01	5.655555460188124162e-01
5.927368662660084109e-01	6.742857145884680881e-01	6.950048539373610001e-01	5.844444433848062781e-01
5.599885521427033774e-01	6.941269853758433861e-01	1.000099076165093415e+00	5.977777772479586638e-01
