# loss	acc	val_loss	val_acc
6.739885267757234066e-01	6.117460301944187551e-01	6.754595041275024414e-01	5.944444470935397185e-01
6.677422315355331373e-01	6.201587253146700895e-01	6.764697564972771415e-01	5.944444470935397185e-01
6.624595655335320243e-01	6.193650771701146862e-01	6.818292935689290735e-01	5.944444470935397185e-01
6.602961856221395420e-01	6.195238081235734384e-01	6.752377814716763460e-01	5.944444470935397185e-01
6.522351456066918240e-01	6.203174591064453125e-01	6.752957238091362724e-01	5.922222269905937919e-01
6.464565727445814591e-01	6.198412671921744721e-01	6.900321178966097868e-01	5.944444470935397185e-01
6.365515901928856524e-01	6.298412709009080235e-01	6.802341209517585030e-01	5.944444470935397185e-01
6.296032780692690789e-01	6.453968239209008084e-01	6.781905492146810266e-01	5.744444429874420166e-01
6.255918022186036653e-01	6.317460333544110407e-01	6.938232911957634697e-01	6.022222240765889856e-01
6.160587110216655393e-01	6.471428601514725987e-01	7.765888174374898645e-01	5.966666671964857560e-01
6.003167487326122043e-01	6.703174606202140229e-01	7.022703554895188827e-01	5.788888865047030485e-01
6.042079007814801228e-01	6.700000006055074619e-01	7.057523992326524276e-01	5.833333333333333703e-01
5.757931007279289970e-01	6.842857173510960012e-01	6.952854726049635392e-01	5.699999928474426270e-01
5.785638983287508808e-01	6.922222219762348416e-01	7.041942940817939034e-01	5.144444439146254044e-01
