# loss	acc	val_loss	val_acc
6.704023073589990833e-01	6.131746026258619864e-01	6.777907742394341239e-01	5.944444470935397185e-01
6.596028454720027634e-01	6.200000009839496951e-01	6.996513538890414274e-01	5.944444470935397185e-01
6.580260027022588609e-01	6.193650823736948086e-01	6.781939069430032996e-01	5.944444470935397185e-01
6.550373785079471878e-01	6.180952361651829152e-01	6.764513386620415458e-01	5.944444470935397185e-01
6.548645742355830857e-01	6.179365080500406338e-01	6.881999108526442033e-01	5.944444470935397185e-01
6.560224058136107095e-01	6.125396835425543918e-01	6.749490896860758093e-01	5.877777801619635811e-01
6.421998493255131057e-01	6.273015874718862461e-01	7.790056268374124793e-01	5.955555505222744905e-01
6.363645195960998535e-01	6.452380991171277058e-01	6.938429607285393486e-01	5.966666671964857560e-01
6.144111837659563813e-01	6.480952368842231026e-01	6.864807539516024626e-01	5.699999928474426270e-01
6.156249779557424473e-01	6.485714259601774723e-01	6.801090968979729423e-01	5.900000002649095077e-01
5.894538334437778859e-01	6.679365057793874572e-01	7.038627796702914274e-01	5.966666738192240027e-01
5.731835909306056687e-01	6.834920649490658917e-01	7.940833568572998047e-01	5.833333333333333703e-01
5.607425106896294364e-01	6.904761895300850494e-01	8.685748643345303499e-01	4.199999968210856305e-01
5.338821098918006269e-01	7.171428558372315853e-01	7.635518776045905343e-01	5.766666664017571220e-01
5.227151498908088056e-01	7.282539667591215737e-01	7.637652291191948661e-01	5.533333387639787215e-01
5.130319548031639920e-01	7.428571411541530223e-01	1.010383460256788490e+00	5.822222232818603516e-01
