# loss	acc	val_loss	val_acc
6.736427886145455179e-01	6.100000010596381417e-01	6.758247746361626396e-01	5.944444470935397185e-01
6.640650686763581723e-01	6.198412700304909428e-01	6.751996477444967004e-01	5.944444470935397185e-01
6.563359726042974351e-01	6.209523781897530181e-01	6.861893932024637488e-01	5.944444470935397185e-01
6.475938416662669894e-01	6.211111110354227138e-01	6.753983298937479285e-01	5.966666671964857560e-01
6.373647754154507794e-01	6.334920648544554167e-01	7.064307199584113350e-01	5.955555571450127372e-01
6.146705311442178798e-01	6.580952377546400722e-01	6.824774808353848421e-01	5.655555526415506629e-01
5.974788750920977387e-01	6.734920645517016302e-01	6.948139005237154997e-01	5.711111095216538924e-01
5.817585701034182488e-01	6.825396825396825573e-01	7.122948633299933663e-01	5.466666618982950476e-01
5.730994949265132421e-01	6.914285714664156757e-01	7.372147109773423690e-01	4.699999954965379256e-01
5.476180740765163035e-01	7.177777820163302458e-01	7.957650489277310335e-01	5.888888902134365999e-01
5.248878654979524105e-01	7.442857150047544890e-01	7.991587585873074495e-01	4.533333314789665947e-01
5.038895077175564730e-01	7.542857139829605151e-01	7.589356700579324988e-01	4.666666620307498570e-01
