# loss	acc	val_loss	val_acc
6.906449709619794097e-01	6.104761882433815678e-01	6.777264343367682686e-01	5.944444470935397185e-01
6.645802505432613083e-01	6.199999971995278081e-01	6.762855715221829378e-01	5.944444470935397185e-01
6.637121022693694972e-01	6.200000019300551113e-01	6.791866487926907503e-01	5.944444470935397185e-01
6.630804425194150031e-01	6.198412671921744721e-01	6.762800415356954309e-01	5.944444470935397185e-01
6.618314896311078277e-01	6.206349191211518734e-01	6.780021588007608679e-01	5.944444470935397185e-01
6.615931722852919084e-01	6.196825381309266634e-01	6.776204241646660575e-01	5.944444470935397185e-01
6.586922369306049685e-01	6.214285701040237475e-01	6.765191886160109025e-01	5.944444470935397185e-01
6.584291108070857712e-01	6.203174572142343690e-01	6.754848361015319824e-01	5.944444470935397185e-01
6.529725373737396144e-01	6.269841260380215608e-01	6.773067182964749300e-01	5.977777772479586638e-01
6.455860128478397852e-01	6.333333310626801937e-01	7.008782823880513879e-01	5.966666671964857560e-01
6.400159985300094556e-01	6.314285709744408281e-01	6.823576423856947404e-01	5.933333304193284530e-01
6.404164480784583224e-01	6.361904768716721836e-01	6.763026714324951172e-01	5.900000002649095077e-01
6.241929119541531623e-01	6.404761936929490584e-01	7.652205162578158415e-01	5.944444470935397185e-01
6.140232185522714881e-01	6.696825443752227880e-01	6.955150961875915527e-01	6.022222174538506279e-01
5.969680755857437182e-01	6.692063505687411151e-01	7.059231996536254883e-01	5.188888874318864364e-01
5.957565903663635254e-01	6.747619065027388174e-01	6.920101642608642578e-01	6.022222240765889856e-01
5.760594852386958786e-01	6.873015818141755551e-01	7.184465328852335242e-01	5.411111050181918181e-01
6.166804167959425431e-01	6.866666655691843202e-01	6.906574964523315430e-01	5.844444500075446358e-01
