# loss	acc	val_loss	val_acc
6.680726692790076582e-01	6.165079332533336398e-01	6.751744548479715613e-01	5.944444470935397185e-01
6.650162831185355561e-01	6.200000024031079304e-01	6.756535768508911133e-01	5.944444470935397185e-01
6.640811931519281508e-01	6.203174638369727267e-01	6.779176990191141394e-01	5.944444470935397185e-01
6.639800932672288436e-01	6.179365080500406338e-01	6.793698933389451522e-01	5.944444470935397185e-01
6.628426616154019513e-01	6.150793669715760581e-01	6.751017967859903601e-01	5.944444470935397185e-01
6.624353064431084404e-01	6.171428580132741759e-01	6.802146037419637414e-01	5.944444470935397185e-01
6.559414721670604465e-01	6.204761867485348859e-01	6.744382116529676896e-01	5.955555571450127372e-01
6.608166581108456672e-01	6.193650819006419894e-01	6.767033007409837264e-01	5.944444470935397185e-01
6.581171940243433216e-01	6.223809473098270706e-01	6.853445503446791154e-01	5.611111025015512732e-01
6.653855679527161948e-01	6.155555555744777196e-01	7.118720544709099540e-01	5.944444470935397185e-01
6.554581721623738977e-01	6.214285691579183313e-01	6.716976894272698173e-01	5.966666671964857560e-01
6.465609972439114728e-01	6.331746076780652155e-01	7.092591722806295129e-01	5.955555571450127372e-01
6.332652247141278279e-01	6.426984142689478041e-01	6.778753797213236121e-01	5.955555438995361328e-01
6.677927384300837987e-01	6.158730174813952241e-01	6.728788746727837333e-01	5.966666671964857560e-01
6.309872146636720247e-01	6.263492050625029117e-01	6.884722510973612097e-01	5.811111066076490861e-01
6.121329002910189665e-01	6.380952440557026151e-01	6.996353930897183382e-01	5.733333428700765344e-01
6.094176892250303679e-01	6.631746046126835159e-01	6.949494414859347380e-01	5.099999937746260148e-01
5.868581930796304968e-01	6.747619041374751658e-01	8.255589736832512626e-01	5.888888968361748466e-01
5.606706355299267974e-01	6.920634905497232703e-01	7.405668761995103377e-01	5.722222195731269112e-01
5.586980344757200845e-01	6.922222210301293144e-01	7.919706238640679130e-01	5.855555600590176546e-01
